x,y,height
0.428,15.584,0.015
0.428,15.584,0.015
0.428,15.584,0.022
0.428,15.584,0.022
0.428,15.584,0.023
0.428,15.584,0.034
0.428,15.584,0.035
0.428,15.584,0.064
0.455,15.589,0.070
0.519,15.584,0.075
0.556,15.572,0.079
0.677,15.499,0.039
0.812,15.355,0.040
0.899,15.175,-0.039
0.923,15.078,-0.044
0.937,14.979,-0.042
0.945,14.780,-0.051
0.931,14.580,-0.040
0.898,14.383,-0.049
0.874,14.286,-0.042
0.820,14.093,-0.049
0.793,13.997,-0.035
0.738,13.805,-0.041
0.684,13.612,-0.014
0.657,13.516,-0.015
0.629,13.420,-0.015
0.575,13.227,-0.001
0.521,13.035,-0.001
0.466,12.843,-0.000
0.412,12.650,-0.007
0.357,12.458,-0.007
0.303,12.265,-0.001
0.275,12.169,-0.000
0.221,11.977,-0.011
0.166,11.784,-0.011
0.139,11.688,-0.012
0.112,11.592,-0.012
0.058,11.399,-0.016
0.030,11.303,-0.016
-0.024,11.111,-0.017
-0.079,10.918,-0.018
-0.133,10.726,-0.016
-0.160,10.629,-0.016
-0.215,10.437,-0.020
-0.267,10.254,-0.021
-0.289,10.174,-0.017
-0.328,10.028,-0.018
-0.352,9.933,-0.018
-0.400,9.739,-0.012
-0.424,9.642,-0.011
-0.470,9.459,-0.016
-0.514,9.282,-0.020
-0.538,9.185,-0.020
-0.586,8.991,-0.021
-0.635,8.797,-0.019
-0.659,8.700,-0.019
-0.707,8.506,-0.017
-0.731,8.409,-0.016
-0.779,8.215,-0.008
-0.791,8.166,-0.007
-0.852,7.924,-0.009
-0.900,7.730,-0.008
-0.924,7.633,-0.013
-0.957,7.500,-0.013
-1.004,7.314,-0.011
-1.049,7.130,-0.010
-1.073,7.033,-0.009
-1.122,6.839,-0.009
-1.146,6.742,-0.011
-1.168,6.651,-0.011
-1.198,6.505,-0.010
-1.227,6.315,-0.015
-1.241,6.216,-0.015
-1.270,6.018,-0.012
-1.285,5.919,-0.012
-1.314,5.721,-0.003
-1.343,5.524,-0.002
-1.357,5.425,-0.007
-1.386,5.227,-0.006
-1.415,5.029,-0.011
-1.444,4.831,-0.007
-1.473,4.633,-0.007
-1.502,4.435,-0.010
-1.516,4.336,-0.010
-1.531,4.237,-0.010
-1.560,4.039,-0.000
-1.589,3.842,-0.006
-1.618,3.644,-0.006
-1.632,3.545,-0.006
-1.661,3.347,-0.012
-1.690,3.149,-0.012
-1.719,2.951,-0.013
-1.734,2.852,-0.012
-1.763,2.654,-0.013
-1.777,2.555,-0.013
-1.806,2.357,-0.013
-1.835,2.159,-0.007
-1.850,2.061,-0.007
