x,y,height
0.925,0.033,0.043
1.008,-0.022,0.059
1.089,-0.081,0.014
1.230,-0.201,0.040
1.289,-0.259,0.004
1.372,-0.353,0.019
1.489,-0.504,-0.002
1.549,-0.584,0.007
1.669,-0.744,-0.010
1.730,-0.824,-0.004
1.850,-0.984,-0.014
1.910,-1.064,-0.010
2.030,-1.224,-0.003
2.150,-1.384,-0.008
2.210,-1.464,-0.005
2.330,-1.624,-0.006
2.390,-1.704,-0.004
2.510,-1.863,-0.017
2.631,-2.023,-0.016
2.751,-2.183,-0.016
2.871,-2.343,-0.011
2.991,-2.503,-0.012
3.046,-2.576,-0.010
3.101,-2.650,-0.010
3.161,-2.730,-0.011
3.275,-2.881,-0.023
3.381,-3.023,-0.027
3.442,-3.103,-0.012
3.496,-3.175,-0.014
3.546,-3.241,-0.015
3.596,-3.308,-0.014
3.712,-3.462,-0.018
3.825,-3.613,-0.020
3.925,-3.746,-0.024
4.025,-3.880,-0.013
4.072,-3.948,-0.015
4.157,-4.092,-0.015
4.249,-4.263,-0.019
4.344,-4.439,-0.021
4.439,-4.616,-0.014
4.534,-4.792,-0.017
4.582,-4.880,-0.019
4.676,-5.056,-0.014
4.724,-5.144,-0.015
4.771,-5.232,-0.013
4.866,-5.408,-0.015
4.961,-5.584,-0.012
5.002,-5.660,-0.013
5.088,-5.819,-0.015
5.135,-5.907,-0.016
5.230,-6.083,-0.011
5.277,-6.171,-0.011
5.372,-6.347,-0.010
5.467,-6.523,-0.011
5.515,-6.611,-0.012
5.562,-6.699,-0.012
5.657,-6.875,-0.014
5.752,-7.051,-0.014
5.799,-7.139,-0.015
5.847,-7.227,-0.011
5.942,-7.403,-0.012
6.037,-7.579,-0.015
6.132,-7.755,-0.017
6.226,-7.931,-0.014
6.321,-8.107,-0.014
6.369,-8.195,-0.015
6.440,-8.327,-0.015
6.487,-8.415,-0.012
6.606,-8.635,-0.012
6.630,-8.679,-0.014
6.725,-8.855,-0.014
6.772,-8.943,-0.008
6.867,-9.120,-0.007
6.914,-9.208,-0.007
7.009,-9.384,-0.008
7.100,-9.552,-0.014
7.179,-9.699,-0.014
7.223,-9.780,-0.009
7.264,-9.857,-0.009
7.298,-9.919,-0.009
7.367,-10.047,-0.012
7.470,-10.214,-0.012
7.528,-10.295,-0.009
7.638,-10.431,-0.009
7.762,-10.580,-0.002
7.883,-10.726,-0.001
7.943,-10.798,-0.010
8.070,-10.952,-0.009
8.198,-11.106,-0.011
8.326,-11.260,-0.011
8.390,-11.337,-0.014
8.517,-11.491,-0.015
8.645,-11.645,-0.011
8.773,-11.799,-0.008
8.900,-11.953,-0.007
9.028,-12.107,-0.008
9.092,-12.183,-0.007
9.220,-12.337,-0.011
9.284,-12.414,-0.011
9.411,-12.568,-0.012
9.539,-12.722,-0.013
9.603,-12.799,-0.013
9.731,-12.953,-0.011
9.858,-13.107,-0.015
9.922,-13.184,-0.015
9.986,-13.261,-0.015
10.114,-13.415,-0.010
10.178,-13.492,-0.010
10.241,-13.569,-0.010
10.369,-13.723,-0.007
10.497,-13.877,-0.016
10.624,-14.031,-0.017
10.688,-14.107,-0.004
10.752,-14.184,-0.003
10.880,-14.338,-0.002
10.944,-14.415,-0.014
11.071,-14.569,-0.015
11.199,-14.723,-0.017
11.295,-14.839,-0.014
11.391,-14.954,-0.014
11.518,-15.108,-0.014
11.646,-15.262,-0.010
11.710,-15.339,-0.010
11.742,-15.377,-0.010
11.806,-15.454,-0.010
11.933,-15.608,-0.015
11.997,-15.685,-0.015
12.125,-15.839,-0.016
12.253,-15.993,-0.011
12.317,-16.070,-0.011
12.444,-16.224,-0.008
12.572,-16.378,-0.007
12.636,-16.455,-0.009
12.764,-16.609,-0.008
12.891,-16.763,-0.015
13.019,-16.917,-0.015
13.147,-17.070,-0.016
13.211,-17.147,-0.016
13.338,-17.301,-0.013
13.466,-17.455,-0.006
13.594,-17.609,-0.005
13.657,-17.686,-0.010
13.785,-17.840,-0.009
13.913,-17.994,-0.005
14.024,-18.127,-0.005
14.147,-18.276,-0.015
14.211,-18.353,-0.015
14.275,-18.430,-0.012
14.406,-18.581,-0.012
14.476,-18.652,-0.012
14.628,-18.783,-0.008
14.788,-18.902,-0.006
14.869,-18.961,-0.006
14.950,-19.020,-0.005
15.111,-19.137,-0.005
15.259,-19.240,-0.005
15.341,-19.288,-0.012
15.505,-19.370,-0.012
15.596,-19.412,-0.016
15.778,-19.495,-0.016
15.869,-19.537,-0.008
16.050,-19.620,-0.008
16.096,-19.641,-0.008
16.254,-19.714,-0.014
16.434,-19.796,-0.015
16.525,-19.838,-0.009
16.678,-19.908,-0.009
16.716,-19.926,-0.014
16.816,-19.972,-0.014
16.876,-19.999,-0.014
16.933,-20.024,-0.005
17.018,-20.053,-0.004
17.066,-20.066,-0.014
17.115,-20.077,-0.014
17.115,-20.077,-0.010
17.115,-20.077,-0.010
17.115,-20.077,-0.011
17.115,-20.077,-0.011
17.115,-20.077,-0.011
17.115,-20.077,-0.007
17.115,-20.077,-0.007
17.115,-20.077,-0.012
17.115,-20.077,-0.013
17.115,-20.077,-0.013
17.115,-20.077,-0.013
17.115,-20.077,-0.007
17.115,-20.077,-0.007
