x,y,height
-0.037,1.524,0.030
-0.052,1.623,0.045
-0.078,1.793,0.015
-0.095,1.886,0.027
-0.113,1.985,0.040
-0.131,2.083,0.006
-0.167,2.280,0.027
-0.183,2.367,-0.000
-0.213,2.531,0.016
-0.249,2.724,-0.006
-0.267,2.822,-0.001
-0.283,2.909,0.004
-0.315,3.085,-0.001
-0.331,3.172,0.002
-0.364,3.349,-0.007
-0.382,3.447,-0.004
-0.398,3.532,-0.013
-0.430,3.709,-0.010
-0.464,3.893,-0.011
-0.500,4.086,-0.010
-0.530,4.253,-0.020
-0.545,4.335,-0.020
-0.576,4.499,-0.011
-0.591,4.581,-0.012
-0.606,4.663,-0.012
-0.621,4.745,-0.019
-0.654,4.925,-0.022
-0.669,5.007,-0.024
-0.702,5.187,-0.028
-0.710,5.229,-0.029
-0.743,5.407,-0.024
-0.775,5.594,-0.019
-0.787,5.693,-0.021
-0.794,5.793,-0.023
-0.796,5.893,-0.014
-0.788,6.075,-0.018
-0.778,6.217,-0.021
-0.767,6.367,-0.013
-0.759,6.466,-0.014
-0.745,6.666,-0.018
-0.737,6.766,-0.020
-0.734,6.815,-0.015
-0.734,6.815,-0.015
-0.734,6.815,-0.015
-0.734,6.815,-0.013
-0.694,7.364,-0.022
-0.679,7.563,-0.010
-0.664,7.763,-0.012
-0.650,7.962,-0.011
-0.635,8.162,-0.013
-0.621,8.361,-0.015
-0.606,8.561,-0.011
-0.592,8.760,-0.013
-0.577,8.960,-0.016
-0.562,9.159,-0.018
-0.555,9.259,-0.017
-0.548,9.359,-0.018
-0.541,9.458,-0.019
-0.526,9.658,-0.021
-0.511,9.857,-0.028
-0.497,10.057,-0.031
-0.489,10.157,-0.033
-0.475,10.356,-0.027
-0.460,10.555,-0.029
-0.446,10.755,-0.031
-0.438,10.855,-0.027
-0.424,11.054,-0.028
-0.417,11.154,-0.029
-0.402,11.353,-0.020
-0.395,11.453,-0.020
-0.380,11.653,-0.020
-0.365,11.852,-0.023
-0.358,11.952,-0.023
-0.351,12.051,-0.023
-0.336,12.251,-0.031
-0.329,12.351,-0.032
-0.314,12.550,-0.028
-0.300,12.750,-0.029
-0.293,12.849,-0.029
-0.280,13.019,-0.020
-0.274,13.102,-0.020
-0.261,13.281,-0.015
-0.255,13.359,-0.015
-0.244,13.508,-0.006
-0.224,13.706,-0.004
-0.207,13.804,0.005
-0.186,13.902,0.007
-0.164,13.999,0.008
-0.141,14.097,0.024
-0.097,14.292,0.029
-0.086,14.341,0.032
-0.042,14.536,0.039
0.013,14.728,0.046
0.086,14.914,0.053
0.161,15.066,0.054
0.196,15.132,0.058
0.226,15.192,0.034
0.287,15.310,0.039
0.314,15.362,0.041
0.359,15.451,0.036
0.405,15.540,0.020
