x,y,height
-0.000,-0.000,-0.021
-0.000,-0.000,-0.094
-0.000,-0.000,-0.163
0.144,0.490,-0.035
0.144,0.490,-0.051
0.144,0.490,-0.080
0.144,0.490,-0.080
0.707,0.875,-0.035
0.707,0.875,-0.034
0.707,0.875,-0.034
1.378,0.750,-0.034
1.378,0.750,-0.036
1.378,0.750,-0.022
1.378,0.750,-0.018
1.790,0.242,-0.040
1.790,0.242,-0.032
1.790,0.242,-0.022
1.790,0.242,-0.022
1.790,0.242,-0.000
2.079,-0.394,-0.022
2.079,-0.394,-0.019
2.079,-0.394,-0.019
2.079,-0.394,-0.003
2.616,-1.209,-0.027
2.616,-1.209,-0.012
2.616,-1.209,-0.012
2.616,-1.209,-0.009
3.158,-2.049,-0.019
3.158,-2.049,-0.019
3.158,-2.049,-0.019
3.158,-2.049,-0.017
3.683,-2.900,-0.027
3.683,-2.900,-0.021
3.683,-2.900,-0.021
3.683,-2.900,-0.014
4.214,-3.748,-0.029
4.214,-3.748,-0.014
4.214,-3.748,-0.014
4.746,-4.594,-0.020
4.746,-4.594,-0.028
4.746,-4.594,-0.027
4.746,-4.594,-0.026
